,feature,type
2848,恶兆的,-2
2849,嗔怒,-2
2850,悲叹,-2
2851,起诉,-2
2852,甩都不甩,-2
2853,赊购,-2
2854,错误地处理,-2
2855,逃亡者,-2
2856,分裂的,-2
2857,悚然,-2
2858,变深,-2
2859,不活泼,-2
2860,妓女,-2
2861,逼政,-2
2862,有诡计,-2
2863,显怒容,-2
2864,不景气,-2
2865,突发,-2
2866,受诅咒,-2
2867,滞後,-2
2868,鸟不拉机,-2
2869,不胜任的,-2
2870,不是省油的灯,-2
2871,畸形的人,-2
2872,凄惨,-2
2873,使苦恼,-2
2874,非真正,-2
2875,管闲事,-2
2876,好责骂,-2
2877,欺瞒,-2
2878,做假,-2
2879,病狂,-2
2880,无能为力的,-2
2881,挥击,-2
2882,陡然,-2
2883,没法儿,-2
2884,不调和的,-2
2885,不知去向,-2
2886,浓烟,-2
2887,吵别人,-2
2888,无奈,-2
2889,坏脾气,-2
2890,支吾,-2
2891,浓烈,-2
2892,心机很重,-2
2893,淫秽,-2
2894,使失去光泽,-2
2895,得不到休息,-2
2896,呆呆,-2
2897,致污物,-2
2898,沉陷,-2
2899,误期的,-2
2900,慢吞吞,-2
2901,连累,-2
2902,不合规定的,-2
2903,占据,-2
2904,不可预知的,-2
2905,下暴雨,-2
2906,裂开的,-2
2907,难信,-2
2908,闹僵,-2
2909,多疑,-2
2910,失意,-2
2911,孤行,-2
2912,削弱,-2
2913,暴乱,-2
2914,厌恶的,-2
2915,怀疑,-2
2916,受难,-2
2917,发爆震声,-2
2918,假冒,-2
2919,作废,-2
2920,害羞的,-2
2921,搞投机,-2
2922,密告,-2
2923,偏执狂,-2
2924,自相矛盾,-2
2925,虚伪,-2
2926,除掉,-2
2927,甩不掉,-2
2928,凄怆,-2
2929,使心慌,-2
2930,使遭受,-2
2931,善罢干休,-2
2932,气呼呼,-2
2933,堕落,-2
2934,憾恨,-2
2935,不断引起苦恼,-2
2936,骚动,-2
2937,错误,-2
2938,变污,-2
2939,缺乏的,-2
2940,瘟疫,-2
2941,悲剧,-2
2942,使处於不利,-2
2943,偷偷地行动,-2
2944,诱拐走,-2
2945,受阻,-2
2946,头晕眼花,-2
2947,进行威胁,-2
2948,水妖,-2
2949,过激,-2
2950,避免直接答覆,-2
2951,自卑感,-2
2952,无家,-2
2953,迫切的,-2
2954,强夺,-2
2955,相差,-2
2956,失手,-2
2957,牵挂,-2
2958,不安宁的,-2
2959,船失事,-2
2960,疑心,-2
2961,受闷,-2
2962,见死不救,-2
2963,示众,-2
2964,后悔,-2
2965,机八,-2
2966,伤心的,-2
2967,落伍的士兵,-2
2968,用心良苦,-2
2969,强奸,-2
2970,沈重,-2
2971,肮髒,-2
2972,肆行,-2
2973,悲凉,-2
2974,衰弱,-2
2975,生活艰苦,-2
2976,存有偏见的,-2
2977,不够的,-2
2978,伪造物,-2
2979,磨损处,-2
2980,满脸烂肉,-2
2981,破门,-2
2982,带衰,-2
2983,变淡,-2
2984,未完成体,-2
2985,麻痹,-2
2986,反对提案,-2
2987,休止,-2
2988,走着瞧,-2
2989,使疲倦的,-2
2990,蚕食,-2
2991,干扰,-2
2992,外行的,-2
2993,沉闷,-2
2994,无重要性,-2
2995,犯杀人罪,-2
2996,诡计,-2
2997,冲打,-2
2998,超越误差,-2
2999,子弹,-2
3000,交恶运的,-2
3001,疲乏,-2
3002,干戈,-2
3003,紊乱,-2
3004,弱点,-2
3005,昏暗的,-2
3006,变得微弱,-2
3007,被害,-2
3008,狠打,-2
3009,无子,-2
3010,猛然一动,-2
3011,可怜的,-2
3012,不完全的,-2
3013,衰微,-2
3014,暗指,-2
3015,摇尾乞怜,-2
3016,扁一扁,-2
3017,极坏,-2
3018,没品德,-2
3019,从事小争论,-2
3020,有危险的,-2
3021,有特权的,-2
3022,不可预知,-2
3023,令人讨厌,-2
3024,不明了的,-2
3025,弄坏,-2
3026,把你打死,-2
3027,轰动一时,-2
3028,厚脸皮,-2
3029,致命之物,-2
3030,偷偷摸摸,-2
3031,沈郁,-2
3032,遍寻,-2
3033,不甘示弱,-2
3034,不必要,-2
3035,围住,-2
3036,辛酸,-2
3037,行骗,-2
3038,崎岖,-2
3039,悲惨的,-2
3040,干恁,-2
3041,穷途末路,-2
3042,徒然的,-2
3043,不完美,-2
3044,勒除,-2
3045,妈ㄉ,-2
3046,告密,-2
3047,有瑕疵,-2
3048,死胖子,-2
3049,灼痛,-2
3050,变凌乱,-2
3051,错觉,-2
3052,侵吞,-2
3053,何苦来哉,-2
3054,短促频繁地乾咳,-2
3055,那麽干,-2
3056,闹剧,-2
3057,眼花缭乱,-2
3058,迷路者,-2
3059,坚硬,-2
3060,骭林娘,-2
3061,使稀薄,-2
3062,哀悼者,-2
3063,失控,-2
3064,卑鄙的,-2
3065,超讨厌,-2
3066,失措,-2
3067,尚武,-2
3068,砰然作声,-2
3069,抨击,-2
3070,要被当了,-2
3071,冲撞,-2
3072,赤裸裸的,-2
3073,赌注,-2
3074,犬儒,-2
3075,乾燥,-2
3076,发生矛盾,-2
3077,未确定,-2
3078,自以为是,-2
3079,塞你娘鸡吧,-2
3080,使不关心,-2
3081,没觉察到的,-2
3082,酒醉的,-2
3083,匆忙,-2
3084,在那边混,-2
3085,秘密,-2
3086,好不应该,-2
3087,混乱,-2
3088,盘问,-2
3089,逮捕,-2
3090,讨厌鬼,-2
3091,俗辣,-2
3092,使暴露,-2
3093,凄惨的,-2
3094,不易弯曲,-2
3095,不能解决,-2
3096,人人自危,-2
3097,极小的空间,-2
3098,烤焦,-2
3099,作惊人表演,-2
3100,枯槁,-2
3101,出乎意料,-2
3102,跌价,-2
3103,困局,-2
3104,坏去,-2
3105,漠不,-2
3106,应该谴责,-2
3107,唯恐,-2
3108,异常兴奋的,-2
3109,迫害,-2
3110,痛恨,-2
3111,侵占,-2
3112,成零,-2
3113,独裁的,-2
3114,简陋,-2
3115,鸡巴,-2
3116,昏昏欲睡,-2
3117,不负责任,-2
3118,闷闷不乐,-2
3119,挫伤,-2
3120,伪善者,-2
3121,屌ㄌ,-2
3122,易爆发,-2
3123,赌气,-2
3124,难看死了,-2
3125,没能力,-2
3126,沈重的责任,-2
3127,屁事,-2
3128,误期,-2
3129,起鸡皮疙瘩,-2
3130,失效,-2
3131,寂寞,-2
3132,鸡屎肚,-2
3133,慢的,-2
3134,严厉批评,-2
3135,使下垂,-2
3136,毫无办法的,-2
3137,被干走,-2
3138,成为空的,-2
3139,假正经,-2
3140,外来的,-2
3141,假道学,-2
3142,使迟钝,-2
3143,施暴,-2
3144,水火不容,-2
3145,瞎扯,-2
3146,之恨,-2
3147,迷惑的,-2
3148,祸国殃民,-2
3149,电击,-2
3150,战败,-2
3151,被弄死,-2
3152,增剧,-2
3153,碎裂,-2
3154,不愿意,-2
3155,讨人嫌,-2
3156,殖民地,-2
3157,哀诉,-2
3158,大批出没,-2
3159,烙跑,-2
3160,深渊,-2
3161,贱种,-2
3162,煞费,-2
3163,中饱私囊,-2
3164,包庇,-2
3165,没想到,-2
3166,砰地,-2
3167,错过,-2
3168,自满,-2
3169,嘴巴烂掉,-2
3170,搞鬼,-2
3171,挑逗,-2
3172,干政,-2
3173,弄凹,-2
3174,横冲直撞,-2
3175,被勒死,-2
3176,费用大的,-2
3177,被当,-2
3178,担负,-2
3179,无德,-2
3180,一气,-2
3181,少烦,-2
3182,漠不关心,-2
3183,丑死了,-2
3184,讽刺的,-2
3185,八股,-2
3186,以怨报德,-2
3187,恶心的,-2
3188,故意少给,-2
3189,感到痛苦,-2
3190,不能容忍的,-2
3191,基卖,-2
3192,不讲道理,-2
3193,无可置疑的,-2
3194,毁坏,-2
3195,征税,-2
3196,打入,-2
3197,失明,-2
3198,牛头不对马嘴,-2
3199,不可思议的,-2
3200,老处女,-2
3201,大声要求,-2
3202,沈闷,-2
3203,过剩的,-2
3204,使恶化,-2
3205,蛮横行为,-2
3206,痛打,-2
3207,砰然声,-2
3208,与争辩,-2
3209,声明拒付,-2
3210,算你厉害,-2
3211,怕死,-2
3212,超过,-2
3213,赌运气,-2
3214,诽谤,-2
3215,沉重,-2
3216,动荡,-2
3217,伪造的,-2
3218,吃得过饱,-2
3219,刺针,-2
3220,追逐,-2
3221,遇难,-2
3222,荒野的,-2
3223,通奸,-2
3224,侵入,-2
3225,有啥,-2
3226,得不到休息的,-2
3227,打击,-2
3228,打出,-2
3229,狠狠抨击,-2
3230,诡辩,-2
3231,抢夺,-2
3232,上当,-2
3233,瓦解,-2
3234,不新鲜的,-2
3235,火冒三丈,-2
3236,浪荡,-2
3237,倒垃圾,-2
3238,自我中心的,-2
3239,放狗,-2
3240,起诉状,-2
3241,瞧不起人的,-2
3242,严厉的,-2
3243,未必的,-2
3244,易损坏的,-2
3245,搞了再说,-2
3246,无度,-2
3247,做坏事,-2
3248,打哈欠,-2
3249,大叫大嚷着要求,-2
3250,打倒,-2
3251,发出刺耳的声音,-2
3252,忧郁,-2
3253,乖僻,-2
3254,脱轨,-2
3255,过得去,-2
3256,难以取悦,-2
3257,暗杀,-2
3258,失望,-2
3259,犯愁,-2
3260,悲哀,-2
3261,没有用,-2
3262,叫化子,-2
3263,之仇,-2
3264,变成废墟,-2
3265,啥玩意,-2
3266,模糊不清,-2
3267,做作,-2
3268,非自愿,-2
3269,打偏,-2
3270,不必要的,-2
3271,自求,-2
3272,冷战,-2
3273,生活放荡,-2
3274,鲨鱼,-2
3275,不满意的,-2
3276,耻辱,-2
3277,不确实的,-2
3278,麻烦,-2
3279,沉郁,-2
3280,无常,-2
3281,迟到,-2
3282,恶贯满盈,-2
3283,这麽烂,-2
3284,大吃一惊,-2
3285,使过早硫化,-2
3286,带赛,-2
3287,根绝,-2
3288,惊呼出来,-2
3289,陷於困境,-2
3290,怎样,-2
3291,使逆行,-2
3292,做坏,-2
3293,不赚钱,-2
3294,撞击声,-2
3295,脚步沈重,-2
3296,不健康的,-2
3297,杀戮,-2
3298,拘留所,-2
3299,无形的东西,-2
3300,用枪射击,-2
3301,阿谀,-2
3302,煞车,-2
3303,分隔,-2
3304,提出来反对,-2
3305,不牢靠,-2
3306,落後程度,-2
3307,烦乱的,-2
3308,干傻事,-2
3309,无威严的,-2
3310,对进行报复,-2
3311,不成比例,-2
3312,吵起来,-2
3313,使透不过气来,-2
3314,你他妈妈的,-2
3315,少给,-2
3316,难以置信的,-2
3317,不欢而散,-2
3318,说模棱两可的话,-2
3319,颓废的,-2
3320,功利,-2
3321,出尔反尔,-2
3322,反对改革,-2
3323,不宜的,-2
3324,闹得不愉快,-2
3325,鸡八,-2
3326,不可能之事,-2
3327,极小,-2
3328,不自然,-2
3329,乏味,-2
3330,产生反作用,-2
3331,颓废,-2
3332,含糊的,-2
3333,自食恶果,-2
3334,危险的,-2
3335,使蒙受耻辱,-2
3336,变旧,-2
3337,毙了他,-2
3338,傲慢无礼的行为,-2
3339,微弱的,-2
3340,夸张的言语,-2
3341,自诩为,-2
3342,愤怒的,-2
3343,阻碍,-2
3344,极无礼的,-2
3345,刺骨,-2
3346,浪费,-2
3347,冷淡,-2
3348,从中作梗,-2
3349,命运注定,-2
3350,闹大,-2
3351,失检,-2
3352,唾沫,-2
3353,逃避义务,-2
3354,强压,-2
3355,无把握,-2
3356,瓜田李下之嫌,-2
3357,微弱,-2
3358,腐坏,-2
3359,撕裂,-2
3360,吵翻天,-2
3361,矛盾的,-2
3362,无关,-2
3363,蠢男,-2
3364,邋遢的,-2
3365,内斗,-2
3366,斗不过,-2
3367,大笨蛋,-2
3368,雨打,-2
3369,坏心,-2
3370,唉唷,-2
3371,一拳,-2
3372,垃圾,-2
3373,警告,-2
3374,控诉,-2
3375,真蠢,-2
3376,喧哗吵闹,-2
3377,唉哟,-2
3378,令人厌恶,-2
3379,强制,-2
3380,死老百姓,-2
3381,使潜入,-2
3382,风凉,-2
3383,谋杀,-2
3384,破麻,-2
3385,假公济私,-2
3386,自我,-2
3387,不怕死,-2
3388,冷汗,-2
3389,去你妈的,-2
3390,使腐朽,-2
3391,自扰,-2
3392,惧怕,-2
3393,碰运气,-2
3394,闷死,-2
3395,使加深,-2
3396,猎食,-2
3397,割断,-2
3398,荒凉的,-2
3399,未获情报的,-2
3400,令退役,-2
3401,虚荣的,-2
3402,沉默,-2
3403,极可厌,-2
3404,强加,-2
3405,一掌,-2
3406,伪人之心,-2
3407,怪物,-2
3408,使紊乱,-2
3409,唉呀,-2
3410,毒药,-2
3411,易变,-2
3412,肆无忌惮,-2
3413,异想天开,-2
3414,死胖女,-2
3415,罪的宣告,-2
3416,吓跑,-2
3417,乏善,-2
3418,易受,-2
3419,轻易停止,-2
3420,妄为,-2
3421,缺乏感情,-2
3422,一掴,-2
3423,蓬乱,-2
3424,我咧看,-2
3425,伤痕,-2
3426,哭爸,-2
3427,单调,-2
3428,难以捉摸,-2
3429,毙了你,-2
3430,不合群的动物,-2
3431,惹祸,-2
3432,机八毛,-2
3433,使沮丧,-2
3434,有顾忌,-2
3435,遇难船,-2
3436,塞到,-2
3437,我恨你,-2
3438,骗吃混喝,-2
3439,驱逐,-2
3440,批判,-2
3441,使产生纹裂,-2
3442,纵情,-2
3443,使失去勇气,-2
3444,操贱役的人,-2
3445,匆忙咽下,-2
3446,文盲,-2
3447,饿得,-2
3448,不自在的,-2
3449,无厌,-2
3450,撑着,-2
3451,挖掘地基,-2
3452,冗杂,-2
3453,冷漠,-2
3454,未得到,-2
3455,不择,-2
3456,惨绝人寰,-2
3457,自慰,-2
3458,无可,-2
3459,把工作搞糟,-2
3460,真假可疑的,-2
3461,加重压於,-2
3462,令人愤慨,-2
3463,不牢固的,-2
3464,隐蔽的,-2
3465,算啥,-2
3466,强光,-2
3467,搞钱,-2
3468,偷工减料,-2
3469,漏损物,-2
3470,使变丑,-2
3471,死小鬼,-2
3472,靠不住,-2
3473,放纵,-2
3474,油腻,-2
3475,轰鸣,-2
3476,侵略者,-2
3477,无语问苍天,-2
3478,沮丧,-2
3479,斗起来,-2
3480,没法子,-2
3481,趁乱抢劫,-2
3482,欺诈的,-2
3483,毁容,-2
3484,莫能,-2
3485,烦燥的,-2
3486,有够,-2
3487,引起死亡,-2
3488,如死一般,-2
3489,打耳光,-2
3490,令人恐惧,-2
3491,强击,-2
3492,有毒的,-2
3493,微不足道的,-2
3494,不值钱,-2
3495,极度,-2
3496,逃亡,-2
3497,敢喵我,-2
3498,食人者,-2
3499,失去感觉的,-2
3500,安慰,-2
3501,彻底的失败,-2
3502,变暗淡,-2
3503,局促,-2
3504,逼上梁山,-2
3505,死里逃生,-2
3506,欠缺的,-2
3507,无助,-2
3508,牲畜栏,-2
3509,生厌,-2
3510,自怨,-2
3511,变暗,-2
3512,死玻璃,-2
3513,自怜,-2
3514,机八事,-2
3515,不毛的,-2
3516,死记,-2
3517,无力,-2
3518,撒谎,-2
3519,直撞,-2
3520,作呕,-2
3521,干你娘老鸡巴,-2
3522,生变,-2
3523,墓穴,-2
3524,微不足道,-2
3525,荡妇,-2
3526,他马,-2
3527,过时的,-2
3528,赌掉,-2
3529,狠毒,-2
3530,弱小的,-2
3531,出气,-2
3532,与作战,-2
3533,可悲的,-2
3534,反动的,-2
3535,清理债务,-2
3536,发麻,-2
3537,告发,-2
3538,毒腺,-2
3539,死鬼,-2
3540,微尘,-2
3541,虚幻的,-2
3542,多风暴的,-2
3543,无希望的,-2
3544,恶名昭着,-2
3545,缠结,-2
3546,缠绕,-2
3547,大声要求的,-2
3548,搞啥鬼,-2
3549,出没,-2
3550,拜托,-2
3551,讽刺,-2
3552,鸟屎,-2
3553,不恰当,-2
3554,哄骗,-2
3555,怨恨引起,-2
3556,精疲力尽的,-2
3557,凹陷,-2
3558,喧闹的,-2
3559,无目的,-2
3560,自负的地方,-2
3561,批发,-2
3562,长的丑,-2
3563,不可信,-2
3564,不妊的,-2
3565,忧闷,-2
3566,使成废墟,-2
3567,反作用,-2
3568,疑虑,-2
3569,唱衰,-2
3570,脾气,-2
3571,折旧,-2
3572,敏感,-2
3573,毒蛇,-2
3574,肆虐,-2
3575,喃喃,-2
3576,横冲,-2
3577,我咧,-2
3578,没用的家伙,-2
3579,折断,-2
3580,武装部队,-2
3581,脱落,-2
3582,侵害,-2
3583,跩个屁,-2
3584,假惺惺,-2
3585,挤过去,-2
3586,无理性的,-2
3587,自杀,-2
3588,攫取,-2
3589,逆向,-2
3590,危险物,-2
3591,纠缠,-2
3592,严酷的,-2
3593,未下定义的,-2
3594,贮藏货物,-2
3595,镇压,-2
3596,饮恨,-2
3597,难控制的,-2
3598,反抗,-2
3599,荒芜的,-2
3600,盲目,-2
3601,蠢翻,-2
3602,随口泄漏,-2
3603,未加抑制的,-2
3604,大乱,-2
3605,苦闷,-2
3606,感到遗憾,-2
3607,讨人厌,-2
3608,死鱼,-2
3609,风吹,-2
3610,欲哭无泪,-2
3611,闷热的,-2
3612,操心,-2
3613,拙劣,-2
3614,抵制,-2
3615,真干,-2
3616,混浊状态,-2
3617,功利主义,-2
3618,败俗,-2
3619,狂怒的,-2
3620,迫切,-2
3621,陨落,-2
3622,大便,-2
3623,被告,-2
3624,忿怒,-2
3625,宣布脱离关系,-2
3626,易受骗的,-2
3627,使短路,-2
3628,烫伤,-2
3629,搞什麽飞机,-2
3630,酸腐的,-2
3631,笨手,-2
3632,限制因素,-2
3633,易坏,-2
3634,可争论,-2
3635,没水准,-2
3636,沈默,-2
3637,遏止,-2
3638,受骗,-2
3639,干涉,-2
3640,冗长的,-2
3641,变得紧张,-2
3642,意志消沈,-2
3643,内情,-2
3644,出乎意料地,-2
3645,变态,-2
3646,使惊讶,-2
3647,大伤,-2
3648,上吊,-2
3649,一下子爆发的一连串,-2
3650,有点儿,-2
3651,笨拙,-2
3652,砰然,-2
3653,聋的,-2
3654,费用大,-2
3655,无名,-2
3656,烦躁,-2
3657,难处理的,-2
3658,怀疑宗教教条,-2
3659,用嘶哑,-2
3660,残酷的,-2
3661,无目的的,-2
3662,可争论的,-2
3663,使人生气,-2
3664,恶势力,-2
3665,无味,-2
3666,欠钱,-2
3667,丢脸的事,-2
3668,搞的鬼,-2
3669,同情,-2
3670,丢脸的人,-2
3671,暗淡,-2
3672,激动,-2
3673,无权的,-2
3674,傲脾气,-2
3675,形容枯槁,-2
3676,忌妒,-2
3677,丢丑,-2
3678,盗贼,-2
3679,流浪者,-2
3680,呆子,-2
3681,变得束手无策,-2
3682,无理由的,-2
3683,怨恨,-2
3684,私生,-2
3685,爆炸,-2
3686,自我本位,-2
3687,坏处,-2
3688,惨事,-2
3689,价值不高的,-2
3690,假仁假义,-2
3691,烂校鸟系,-2
3692,非法,-2
3693,随便,-2
3694,忍受不了,-2
3695,神经,-2
3696,胆战心惊,-2
3697,贬黜,-2
3698,生疏,-2
3699,不能压制的,-2
3700,自作聪明,-2
3701,矫饰,-2
3702,失调的,-2
3703,泄露,-2
3704,过节,-2
3705,一点点,-2
3706,无家可归,-2
3707,杂多的,-2
3708,没收物,-2
3709,小孩没屁眼,-2
3710,口齿不清,-2
3711,反悔,-2
3712,昏厥,-2
3713,杀死,-2
3714,造反的,-2
3715,棘手,-2
3716,使咬字不清晰,-2
3717,愚人,-2
3718,分崩离析,-2
3719,妨害物,-2
3720,逼死,-2
3721,次品,-2
3722,侵夺,-2
3723,不起作用,-2
3724,厚颜无耻,-2
3725,恶狠,-2
3726,未成熟,-2
3727,强迫的,-2
3728,懒得理你,-2
3729,传染病,-2
3730,漏损,-2
3731,没事,-2
3732,使混乱,-2
3733,不太可能的,-2
3734,轻率,-2
3735,反感,-2
3736,种族隔离,-2
3737,硬背,-2
3738,厌烦,-2
3739,堕落的,-2
3740,没卫生,-2
3741,头痛,-2
3742,致人死命,-2
3743,作假,-2
3744,怨愤,-2
3745,使变陈腐,-2
3746,发誓要,-2
3747,贫瘠的,-2
3748,满脸横肉,-2
3749,引起嘲笑,-2
3750,未经通知,-2
3751,使有缺陷,-2
3752,无聊死了,-2
3753,苦难,-2
3754,不负责任的,-2
3755,削减,-2
3756,打入地狱,-2
3757,松散,-2
3758,冷静下来,-2
3759,睁大,-2
3760,消失,-2
3761,不知不觉,-2
3762,偷偷摸摸地行走,-2
3763,三八,-2
3764,够了没,-2
3765,正式脱离或退出,-2
3766,蠢牛,-2
3767,封锁,-2
3768,违反教规,-2
3769,粮食不足,-2
3770,掩饰,-2
3771,心情不稳,-2
3772,无能力,-2
3773,歪曲,-2
3774,楞住,-2
3775,更恶劣,-2
3776,异常兴奋,-2
3777,吊儿郎当,-2
3778,悍妇,-2
3779,感到难过,-2
3780,碰击,-2
3781,轰动一时的,-2
3782,半途而废,-2
3783,岔子,-2
3784,倾斜的,-2
3785,困在,-2
3786,纠纷,-2
3787,没才华,-2
3788,乾旱,-2
3789,停业,-2
3790,悲伤的,-2
3791,坐立不安,-2
3792,瞎眼,-2
3793,去除,-2
3794,凶巴巴,-2
3795,通俗,-2
3796,生病,-2
3797,低声下气,-2
3798,使一团糟,-2
3799,使不正常,-2
3800,死薪水,-2
3801,申述,-2
3802,无趣味的,-2
3803,投降,-2
3804,与匹敌,-2
3805,败北,-2
3806,说反话,-2
3807,无声音的,-2
3808,费力的,-2
3809,有目的,-2
3810,恨你,-2
3811,麻木,-2
3812,隐密的,-2
3813,自以为,-2
3814,使举止失礼,-2
3815,扭歪,-2
3816,智障,-2
3817,怒视,-2
3818,劳累,-2
3819,破产者,-2
3820,被控犯罪,-2
3821,迫使,-2
3822,不完全,-2
3823,不长眼睛,-2
3824,无知的,-2
3825,暴徒,-2
3826,出没於,-2
3827,用旧,-2
3828,兴叹,-2
3829,减低,-2
3830,不成功的,-2
3831,死者,-2
3832,无帮助的,-2
3833,瘦削,-2
3834,惹怒,-2
3835,琐碎,-2
3836,喧闹,-2
3837,疑有,-2
3838,惹恼,-2
3839,耍贱招,-2
3840,拍击,-2
3841,忍下来,-2
3842,迂回说法,-2
3843,用手掌打,-2
3844,死得难看,-2
3845,假冒的,-2
3846,辛苦,-2
3847,虚幻,-2
3848,故意的,-2
3849,憎恨之物,-2
3850,绝对的,-2
3851,迫不,-2
3852,使窘迫不安,-2
3853,粗糙的,-2
3854,久经世故的,-2
3855,阴沈,-2
3856,不适时,-2
3857,烂老师,-2
3858,折磨,-2
3859,太迟的,-2
3860,非正式,-2
3861,不亲切的,-2
3862,不适应环境,-2
3863,毒蛇一样的家伙,-2
3864,不留心的,-2
3865,不规则,-2
3866,神经过敏的,-2
3867,碰伤,-2
3868,要死,-2
3869,搞什麽名堂,-2
3870,赋闲无事,-2
3871,作乐,-2
3872,稀罕,-2
3873,大叫,-2
3874,人心惶惶,-2
3875,诋毁,-2
3876,臭铜钱,-2
3877,惹人恼怒的事,-2
3878,烂到爆,-2
3879,完蛋,-2
3880,行为不良,-2
3881,失焦,-2
3882,凄然,-2
3883,宁愿,-2
3884,算了,-2
3885,末日审判,-2
3886,陈腐,-2
3887,别来烦我,-2
3888,混吃等死,-2
3889,违法的,-2
3890,累赘,-2
3891,错误地,-2
3892,使有成见,-2
3893,轻率的,-2
3894,忧虑,-2
3895,劣等的,-2
3896,瞎的,-2
3897,利己主义的,-2
3898,自吹自擂,-2
3899,虚弱,-2
3900,急语,-2
3901,灼枯,-2
3902,恶作剧,-2
3903,抑制的,-2
3904,失败者,-2
3905,嗬欠,-2
3906,狂暴的,-2
3907,失去光泽,-2
3908,降低,-2
3909,压倒,-2
3910,小家子气,-2
3911,病弱的人,-2
3912,随口,-2
3913,使羞愧,-2
3914,阻拦,-2
3915,怪异风格,-2
3916,没去,-2
3917,刺耳,-2
3918,很深的裂缝,-2
3919,瘸的,-2
3920,无人理睬,-2
3921,不悦耳,-2
3922,忍耐,-2
3923,不恰当地,-2
3924,是怎样,-2
3925,使蓬乱,-2
3926,狠狠,-2
3927,日本鬼子,-2
3928,懊悔,-2
3929,噪声,-2
3930,乾枯,-2
3931,负担,-2
3932,冷眼,-2
3933,使陷於,-2
3934,着急的,-2
3935,没受,-2
3936,使茫然,-2
3937,使空转,-2
3938,不体面,-2
3939,未受制止,-2
3940,用嘶哑的声音说,-2
3941,乏人,-2
3942,不加思考,-2
3943,懊恼,-2
3944,一脚踹开,-2
3945,极坏的,-2
3946,安然无恙,-2
3947,武装部队的,-2
3948,贝哥哥,-2
3949,逐出,-2
3950,输光,-2
3951,掉泪,-2
3952,可恶的,-2
3953,下地狱,-2
3954,闷热,-2
3955,自称,-2
3956,不小心,-2
3957,使狂热,-2
3958,没规矩的,-2
3959,狗杂碎,-2
3960,耸人听闻的,-2
3961,扁你,-2
3962,破门盗窃,-2
3963,吸毒者,-2
3964,遮蔽,-2
3965,魔鬼似,-2
3966,自私,-2
3967,抄你爸,-2
3968,恶有恶报,-2
3969,推诿,-2
3970,玷污,-2
3971,疼痛的,-2
3972,没劲,-2
3973,脆的,-2
3974,倔强的,-2
3975,嫌贫爱富,-2
3976,矫揉造作的,-2
3977,政变,-2
3978,不予置评,-2
3979,杂物,-2
3980,冒失女孩,-2
3981,巫婆,-2
3982,遗漏,-2
3983,更坏地,-2
3984,胆小的,-2
3985,干到最高点,-2
3986,怪诞的事物,-2
3987,伤风败俗,-2
3988,何苦,-2
3989,老年的,-2
3990,暴力引起的,-2
3991,窥视,-2
3992,怠惰,-2
3993,压力,-2
3994,不足的,-2
3995,步入歧途的,-2
3996,使人不高兴,-2
3997,模糊不清地说话,-2
3998,掩蔽,-2
3999,好责骂的人,-2
4000,滥用职权,-2
4001,没到,-2
4002,懦弱的人,-2
4003,不安全,-2
4004,破落,-2
4005,说蠢话,-2
4006,哀伤的,-2
4007,夹痛,-2
4008,无远见,-2
4009,沮丧的,-2
4010,狂妄的,-2
4011,被遗弃,-2
4012,愚弄,-2
4013,窃贼,-2
4014,沈沈不乐,-2
4015,压制,-2
4016,久坐的,-2
4017,发出撞击声,-2
4018,过多的,-2
4019,猛地关上,-2
4020,拖延,-2
4021,大洪水,-2
4022,大嚷,-2
4023,高价地,-2
4024,申诉,-2
4025,伤感情的,-2
4026,变得不愉快,-2
4027,空想家,-2
4028,自缚,-2
4029,精神上的打击,-2
4030,那里惹到你,-2
4031,唾沫飞溅,-2
4032,断掉,-2
4033,困难的,-2
4034,加害,-2
4035,冒失的,-2
4036,使人反感,-2
4037,勒索,-2
4038,败坏,-2
4039,干你娘老鸡麦,-2
4040,辗转,-2
4041,勾引,-2
4042,千疮百孔,-2
4043,突如其来,-2
4044,干里娘操鸡麦,-2
4045,说模棱两可,-2
4046,表面性的事物,-2
4047,猖獗,-2
4048,长的丑并不是你的错,-2
4049,溢出,-2
4050,诅咒,-2
4051,乖张的,-2
4052,急躁,-2
4053,束手无策,-2
4054,操贱役,-2
4055,固执己见,-2
4056,暴客,-2
4057,罪孽,-2
4058,安抚,-2
4059,假面目,-2
4060,使倾覆,-2
4061,头壳坏掉,-2
4062,夸张的手法,-2
4063,受挫折,-2
4064,过度的疲劳,-2
4065,被闷死,-2
4066,发臭,-2
4067,大噪,-2
4068,割破,-2
4069,发呜咽声,-2
4070,不留神,-2
4071,不重要,-2
4072,咆哮着说,-2
4073,家务杂事,-2
4074,受感情驱使的,-2
4075,诱入,-2
4076,横刀夺爱,-2
4077,起纠纷,-2
4078,暗中,-2
4079,使放纵,-2
4080,猖狂,-2
4081,武力,-2
4082,口臭,-2
4083,无知识的,-2
4084,小气的,-2
4085,争气点,-2
4086,被吼叫着表达出来,-2
4087,哇咧,-2
4088,扰乱,-2
4089,妄动,-2
4090,恶棍,-2
4091,喜夸耀的,-2
4092,油腻的,-2
4093,故态复萌,-2
4094,饿得要死,-2
4095,大惑不解,-2
4096,被抑制,-2
4097,恶梦,-2
4098,尖叫声,-2
4099,产生纹裂,-2
4100,质地薄,-2
4101,没品,-2
4102,无深虑,-2
4103,占着,-2
